,code,start_time,end_time,room,day_of_week
0,PCS3722,16:00,17:30,B2-01,seg
1,PTC3449,14:00,15:30,B2-01,seg
2,PCS3722,16:00,17:30,B2-03,seg
3,PSI3211,07:30,09:00,B2-05,seg
4,PSI3213,15:00,16:30,B2-05,seg
5,PSI3321,18:00,19:30,B2-05,seg
6,PCS3422,14:00,15:30,B2-08,seg
7,PCS3438,16:00,17:30,B2-08,seg
8,PCS3563,08:20,11:50,B2-08,seg
9,PSI3442,07:30,09:00,B2-09,seg
10,PSI3472,09:20,10:50,B2-09,seg
11,PEA3405,07:30,08:20,B2-10,seg
12,PEA3417,13:10,14:40,B2-10,seg
13,PEA3521,11:10,12:40,B2-10,seg
14,PEA3550,16:50,18:20,B2-10,seg
15,PEA3406,07:30,08:20,B2-12,seg
16,PEA3414,15:00,16:30,B2-12,seg
17,PEA3490,13:10,14:40,B2-12,seg
18,PSI3501,16:50,18:20,C1-05,seg
19,MAC0122,13:10,14:40,C1-30,seg
20,PEA3100,15:00,16:30,C1-30,seg
21,PSI3024,09:20,10:50,C1-30,seg
22,PCS3746,14:00,15:30,C1-49,seg
23,PCS3225,13:10,14:40,D1-01,seg
24,PSI3213,15:00,16:30,D1-01,seg
25,PTC3213,09:20,10:50,D1-01,seg
26,PTC3361,11:10,12:40,D1-01,seg
27,PCS3225,13:10,14:40,D1-02,seg
28,PSI3213,15:00,16:30,D1-02,seg
29,PSI3502,16:50,20:00,D1-02,seg
30,PTC3213,09:20,10:50,D1-02,seg
31,PTC3361,11:10,12:40,D1-02,seg
32,4323102,15:00,16:30,D1-03,seg
33,PCS3213,13:10,14:40,D1-03,seg
34,PSI3262,16:50,18:20,D1-03,seg
35,PCS3225,13:10,14:40,D1-04,seg
36,PSI3213,15:00,16:30,D1-04,seg
37,PTC3213,09:20,10:50,D1-04,seg
38,PTC3361,11:10,12:40,D1-04,seg
39,PSI3482,11:10,12:40,GD-04,seg
40,PSI3483,15:50,17:20,GD-04,seg
41,0323100,08:20,10:50,GD-06,seg
42,PEA3201,13:10,14:40,GD-06,seg
43,PEA3392,15:00,16:30,GD-06,seg
44,PEA3201,07:30,10:50,A1-22,ter
45,PTC3451,15:50,17:20,B2-01,ter
46,PTC3452,14:00,15:30,B2-01,ter
47,PTC3470,09:20,10:50,B2-01,ter
48,PTC3565,11:10,12:40,B2-01,ter
49,PTC3101,17:00,17:50,B2-03,ter
50,PTC3420,11:10,12:40,B2-03,ter
51,PTC3570,14:00,16:50,B2-03,ter
52,PCS3579,14:00,17:30,B2-05,ter
53,PTC3441,09:20,10:50,B2-05,ter
54,PCS3424,14:00,15:30,B2-08,ter
55,PCS3569,08:20,11:50,B2-08,ter
56,PCS3446,14:00,15:30,B2-09,ter
57,PSI3472,07:30,09:00,B2-09,ter
58,PTC3569,11:10,12:40,B2-09,ter
59,PEA3417,13:10,14:40,B2-10,ter
60,PEA3524,07:30,10:50,B2-10,ter
61,PEA3410,15:00,16:30,B2-12,ter
62,PTC3456,09:20,12:40,B2-12,ter
63,PME3344,09:20,10:50,D1-01,ter
64,PTC3314,07:30,09:00,D1-01,ter
65,PTC3360,11:10,12:40,D1-01,ter
66,PME3344,09:20,10:50,D1-02,ter
67,PTC3314,07:30,09:00,D1-02,ter
68,PTC3360,11:10,12:40,D1-02,ter
69,4323102,13:10,16:30,D1-03,ter
70,PME3344,09:20,10:50,D1-03,ter
71,PME3344,09:20,10:50,D1-04,ter
72,PTC3360,11:10,12:40,D1-04,ter
73,PSI3432,09:20,10:50,GD-04,ter
74,0323100,13:10,15:40,GD-06,ter
75,PCS3021,18:50,20:00,GD-06,ter
76,PSI3472,07:30,09:00,GD-06,ter
77,PSI3542,16:50,18:20,GD-06,ter
78,PEA3294,13:10,16:30,A1-22,qua
79,PEA3392,07:30,10:50,A1-22,qua
80,PEA3294,13:10,16:30,A2-37,qua
81,PEA3418,07:30,10:50,A2-37,qua
82,PEA3424,16:50,18:20,A2-37,qua
83,PTC3414,07:30,09:00,B2-01,qua
84,PTC3421,09:20,10:50,B2-01,qua
85,PTC3449,14:00,15:30,B2-01,qua
86,PTC3452,15:50,17:10,B2-01,qua
87,PTC3575,11:10,12:40,B2-01,qua
88,0323150,14:00,16:50,B2-03,qua
89,PTC3417,11:10,12:40,B2-03,qua
90,PTC3467,07:30,10:50,B2-03,qua
91,PTC5880,17:00,19:50,B2-03,qua
92,PCS3110,09:20,10:50,B2-05,qua
93,PSI3211,07:30,09:00,B2-05,qua
94,PSI3213,13:10,14:40,B2-05,qua
95,PSI3321,18:00,19:30,B2-05,qua
96,PCS3422,14:00,15:30,B2-08,qua
97,PCS3438,16:00,17:30,B2-08,qua
98,PCS3578,08:20,11:50,B2-08,qua
99,PCS3724,14:00,15:30,B2-09,qua
100,PSI3572,16:50,18:20,B2-09,qua
101,PTC3567,07:30,10:50,B2-09,qua
102,PEA3416,15:00,16:30,B2-10,qua
103,PEA3417,13:10,14:40,B2-10,qua
104,PEA5740,17:00,19:30,B2-10,qua
105,PEA5756,09:00,11:50,B2-10,qua
106,PEA3288,13:10,14:40,B2-12,qua
107,PRO3826,10:20,11:50,B2-12,qua
108,PSI5120,17:00,19:50,B2-12,qua
109,PTC3020,08:20,09:50,B2-12,qua
110,PSI3501,15:00,16:30,C1-05,qua
111,MAC0122,09:20,10:50,C1-30,qua
112,PCS3115,13:10,14:40,C1-30,qua
113,PEA3390,07:30,09:00,C1-30,qua
114,PTC3313,11:00,12:40,C1-30,qua
115,PCS3899,14:00,17:30,C1-49,qua
116,PCS3110,09:20,10:50,D1-01,qua
117,PCS3225,15:00,16:30,D1-01,qua
118,PSI3213,13:10,14:40,D1-01,qua
119,PCS3110,09:20,10:50,D1-02,qua
120,PCS3225,15:00,16:30,D1-02,qua
121,PSI3213,13:10,14:40,D1-02,qua
122,PTC3313,11:00,12:40,D1-02,qua
123,4323102,07:30,14:40,D1-03,qua
124,PCS3213,15:00,16:30,D1-03,qua
125,PSI3262,16:50,18:30,D1-03,qua
126,PSI3322,09:20,10:50,D1-03,qua
127,PCS3225,15:00,16:30,D1-04,qua
128,PSI3213,13:10,14:40,D1-04,qua
129,PSI3322,09:20,10:50,D1-04,qua
130,PTC3313,11:00,12:40,D1-04,qua
131,PSI3463,14:00,18:20,GD-04,qua
132,PSI3482,07:30,09:00,GD-04,qua
133,PCS3000,13:30,15:20,GD-05,qua
134,0323100,13:10,15:40,GD-06,qua
135,PCS3722,16:00,17:30,GD-06,qua
136,PSI3422,09:20,12:40,GD-06,qua
137,PEA3389,07:30,17:20,A1-22,qui
138,PTC3451,15:50,17:20,B2-01,qui
139,PTC3470,09:20,10:50,B2-01,qui
140,PTC3565,11:10,12:40,B2-01,qui
141,PTC3420,11:10,12:40,B2-03,qui
142,PEA3550,16:40,18:20,B2-05,qui
143,PSI3572,13:10,14:40,B2-05,qui
144,PTC3441,09:20,10:50,B2-05,qui
145,PCS3424,14:00,15:30,B2-08,qui
146,PCS3568,08:20,11:50,B2-08,qui
147,PSI5740,14:00,16:50,B2-09,qui
148,PTC3569,11:10,12:40,B2-09,qui
149,PEA5831,18:00,20:00,B2-10,qui
150,PEA3393,07:30,10:50,B2-10,qui
151,PEA3440,15:00,16:30,B2-10,qui
152,PCS3589,14:00,17:30,B2-12,qui
153,PRO3816,10:20,11:50,B2-12,qui
154,PTC2020,08:20,09:50,B2-12,qui
155,PSI3465,07:30,10:50,C1-05,qui
156,PEA3290,09:20,10:50,C1-30,qui
157,PEA3294,07:30,09:00,D1-01,qui
158,PTC3213,09:20,10:50,D1-01,qui
159,PTC3360,11:10,12:40,D1-01,qui
160,PTC3213,09:20,10:50,D1-02,qui
161,PTC3360,11:10,12:40,D1-02,qui
162,4323102,07:30,14:40,D1-03,qui
163,PTC3213,09:20,10:50,D1-04,qui
164,PTC3360,11:10,12:40,D1-04,qui
165,PSI3432,07:30,09:00,GD-04,qui
166,PSI3452,09:20,12:40,GD-04,qui
167,PSI3483,14:00,15:30,GD-04,qui
168,0323100,08:20,10:50,GD-06,qui
169,PSI3542,16:50,18:20,GD-06,qui
170,PEA3201,13:10,16:30,A1-22,sex
171,PEA3392,07:30,10:50,A1-22,sex
172,PTC3421,09:20,10:50,B2-01,sex
173,PTC3414,07:30,09:00,B2-03,sex
174,PTC3417,11:10,12:40,B2-03,sex
175,PTC3572,14:00,17:30,B2-03,sex
176,PTC3575,09:20,10:50,B2-03,sex
177,PTC3492,09:20,12:40,B2-05,sex
178,PCS3838,08:20,11:50,B2-08,sex
179,PCS3446,14:00,15:30,B2-09,sex
180,PSI3442,09:20,10:50,B2-09,sex
181,PEA3393,13:10,16:30,B2-10,sex
182,PEA3521,07:30,09:00,B2-10,sex
183,PEA5730,17:00,19:50,B2-10,sex
184,PEA3346,08:20,10:50,B2-12,sex
185,PEA3410,13:10,14:40,B2-12,sex
186,PEA3100,15:00,16:30,C1-30,sex
187,PTC3313,09:20,10:50,C1-30,sex
188,PCS3724,08:20,09:50,C1-49,sex
189,PCS3746,10:20,11:50,C1-49,sex
190,PCS3110,13:10,14:40,D1-01,sex
191,PTC3314,07:30,09:00,D1-01,sex
192,PCS3110,13:10,14:40,D1-02,sex
193,PTC3313,09:20,10:50,D1-02,sex
194,PTC3314,07:30,09:00,D1-02,sex
195,4323102,13:10,14:40,D1-03,sex
196,PSI3024,07:30,10:50,D1-03,sex
197,PSI3322,11:10,12:40,D1-03,sex
198,PCS3110,13:10,14:40,D1-04,sex
199,PSI3322,11:10,12:40,D1-04,sex
200,PTC3313,09:20,10:50,D1-04,sex
201,PCS3115,13:10,14:40,GD-06,sex
